DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,AÑO
AMAZONAS,91540.0,PUERTO NARIÑO,91540000.0,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020.0,2.0,99758,35858.0,221.41,martes,2020-02-16 14:15:00,23.58,91.0,14:15:00,
AMAZONAS,91798.0,TARAPACÁ (ANM),91798000.0,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020.0,2.0,22870,8922.0,90.62,domingo,2020-02-16 14:15:00,10.24,91.0,14:15:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873001.0,SAN ANTONIO DE PADUA (VIGÍA DEL FUERTE - ANTIOQUIA),2020.0,2.0,5609,1448.0,52.93,viernes,2020-01-23 21:45:00,4.37,5.0,21:45:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873002.0,VEGÁEZ (VIGÍA DEL FUERTE - ANTIOQUIA),2020.0,2.0,5178,717.0,43.14,viernes,2020-01-23 21:45:00,5.4,5.0,21:45:00,
ANTIOQUIA,5873.0,VIGÍA DEL FUERTE,5873000.0,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020.0,2.0,93760,39361.0,323.49,viernes,2020-01-23 21:45:00,11.49,5.0,21:45:00,
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88564.0,PROVIDENCIA,88564000.0,PROVIDENCIA (PROVIDENCIA - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020.0,2.0,938090,321284.0,1610.85,martes,2020-02-28 19:00:00,24.0,88.0,19:00:00,
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",88001.0,SAN ANDRÉS,88001000.0,SAN ANDRÉS (SAN ANDRÉS - ARCHIPIÉLAGO DE SAN ANDRÉS Y PROVIDENCIA),2020.0,2.0,15684818,4533824.0,28217.6,miércoles,2020-02-28 19:00:00,24.0,88.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001007.0,ISLA FUERTE (CARTAGENA DE INDIAS - BOLÍVAR),2020.0,2.0,15514,8486.0,114.57,domingo,2020-01-30 19:00:00,5.37,13.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001037.0,ISLA MÚCURA (CARTAGENA DE INDIAS - BOLÍVAR),2020.0,2.0,6477,2892.0,25.54,viernes,2020-01-30 19:00:00,10.49,13.0,19:00:00,
BOLIVAR,13001.0,CARTAGENA DE INDIAS,13001017.0,SANTA CRUZ DEL ISLOTE (CARTAGENA DE INDIAS - BOLÍVAR),2020.0,2.0,12675,4372.0,45.06,viernes,2020-01-30 19:00:00,13.26,13.0,19:00:00,
CAQUETA,18150.0,CARTAGENA DEL CHAIRÁ,18150001.0,REMOLINO DEL CAGUÁN (CARTAGENA DEL CHAIRA - CAQUETÁ),2020.0,2.0,15525,7062.0,90.37,sábado,2020-01-21 19:15:00,8.1,18.0,19:15:00,
CAQUETA,18753.0,SAN VICENTE DEL CAGUÁN,18753002.0,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020.0,2.0,12257,5917.0,40.15,sábado,2020-01-21 19:15:00,18.1,18.0,19:15:00,
CAQUETA,18753.0,SAN VICENTE DEL CAGUÁN,18753009.0,PUERTO BETANIA (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2020.0,2.0,1604,633.0,40.72,viernes,2020-01-21 19:15:00,1.49,18.0,19:15:00,
