DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS,ID DEPARTAMENTO,HORA DEMANDA MÁXIMA,CATEGORIA_ZNI
VAUPES,97001,MITU,97001000,MITÚ (MITÚ - VAUPÉS),2020,1,1242033,394710,2633.77,Jueves,2020-02-27 19:00:00,23.58,97,19:00:00,2
VAUPES,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2020,1,26536,9370,97.24,Jueves,2020-02-27 19:00:00,11.17,97,19:00:00,0
VICHADA,99773,CUMARIBO,99773000,CUMARIBO (CUMARIBO - VICHADA),2020,1,269226,118700,579.92,Viernes,2020-02-14 18:30:00,21.49,99,18:30:00,2
VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA (LA PRIMAVERA - VICHADA),2020,1,351440,182493,705.25,Viernes,2020-02-14 18:30:00,24.0,99,18:30:00,2
VICHADA,99001,PUERTO CARREÑO,99001002,CASUARITO (PUERTO CARREÑO - VICHADA),2020,1,26425,11216,129.36,Viernes,2020-02-14 18:30:00,8.43,99,18:30:00,0
VICHADA,99001,PUERTO CARREÑO,99001000,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2020,1,2346886,785884,4320.8,Viernes,2020-02-14 18:30:00,24.0,99,18:30:00,2
VICHADA,99624,SANTA ROSALIA,99624000,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2020,1,130724,68540,323.52,Viernes,2020-02-14 18:30:00,18.0,99,18:30:00,2
AMAZONAS,91001,LETICIA,91001000,LETICIA (LETICIA - AMAZONAS),2020,2,3718227,1157331,7347.36,Domingo,2020-02-16 14:15:00,24.0,91,14:15:00,2
AMAZONAS,91540,PUERTO NARIÑO,91540000,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2020,2,99758,35858,221.41,Domingo,2020-02-16 14:15:00,23.58,91,14:15:00,2
AMAZONAS,91798,TARAPACA (ANM),91798000,TARAPACÁ (TARAPACÁ (ANM) - AMAZONAS),2020,2,22870,8922,90.62,Domingo,2020-02-16 14:15:00,10.24,91,14:15:00,0
